video_id,channel_id,published_at,video_title,channel_name,view_count,like_count,commentCount
bltjk6NfDQM,UCS_hnpJLQTvBkqALgapi_4g,2021-12-09T08:00:22Z,[단독샷캠] 아이브 'ELEVEN' 단독샷 별도녹화│IVE ONE TAKE STAGE│@SBS Inkigayo_2021.12.05.,SBSKPOP X INKIGAYO,13292233,162030,1827
8L001YT4k6k,UCPZIPuQPrfrUG9Xe_okEmQA,2025-11-10T09:00:07Z,PLAVE 'BBUU!' M/V,PLAVE 플레이브,14145241,102910,9739
iUw3LPM7OBU,UCEf_Bc-KVd7onSeifS3py9g,2023-09-04T09:00:24Z,RIIZE 라이즈 'Get A Guitar' MV,SMTOWN,57056199,689477,42047
B1ShLiq3EVc,UCYDmx2Sfpnaxg488yBpZIGg,2025-08-25T09:00:05Z,IVE 아이브 ‘XOXZ’ MV,STARSHIP,34756422,536696,31591
k5O1F_IS0mU,UCzh4yY8rl38knH33XpNqXbQ,2023-12-21T17:36:37Z,이세계 페스티벌 - RE:WIND,왁타버스 WAKTAVERSE,1146206,23481,2225
T_gJpnjJsnk,UCe52oeb7Xv_KaJsEzcKXJJg,2023-03-18T06:51:01Z,PLAVE (플레이브) - Wait for you (기다릴게) | Show! MusicCore | MBC230318방송,MBCkpop,4289293,115845,7831
3_b5oKGndn0,UCbD8EppRX3ZwJSou-TVo90A,2023-09-07T10:35:43Z,'최초 공개' RIIZE - Get A Guitar #엠카운트다운 EP.813 | Mnet 230907 방송,Mnet K-POP,946236,40716,1389
rDFUl2mHIW4,UCzh4yY8rl38knH33XpNqXbQ,2023-08-18T09:00:08Z,이세계아이돌 (ISEGYE IDOL) - KIDDING (키딩) Official MV,왁타버스 WAKTAVERSE,21483289,168625,33360
TVqEwvbZP30,UCEf_Bc-KVd7onSeifS3py9g,2025-11-24T09:00:03Z,RIIZE 라이즈 'Fame' MV,SMTOWN,27475637,178575,17704
6ZUIwj3FgUY,UCYDmx2Sfpnaxg488yBpZIGg,2023-04-10T09:00:10Z,IVE 아이브 'I AM' MV,STARSHIP,366469186,2648465,135631
fff8P0kYexQ,UCmblbE_WxTaFWcMEGFJ_97w,2025-11-06T09:00:02Z,이세계아이돌(ISEGYE IDOL) 'Nameless' Official Performance MV,이세계아이돌 ISEGYE IDOL,3950397,35230,6035
EYG4ROejmyI,UCPZIPuQPrfrUG9Xe_okEmQA,2024-08-20T08:55:08Z,PLAVE(플레이브) 'Pump Up The Volume!' M/V,PLAVE 플레이브,14922220,181438,20946
